City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,mayo,US,95.0,clear sky,38.89,-76.51,Resorts Resource Group International
4,puerto ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
5,rikitea,PF,66.27,overcast clouds,-23.12,-134.97,Pension Maro'i
6,mumford,GH,75.58,few clouds,5.26,-0.76,Spanish Villa
8,veraval,IN,83.86,overcast clouds,20.9,70.37,Lords Inn Somnath
12,jamestown,US,79.0,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
13,port alfred,ZA,66.24,clear sky,-33.59,26.89,The Halyards Hotel
15,hilo,US,78.8,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
20,coquimbo,CL,60.8,scattered clouds,-29.95,-71.34,Hotel San Juan
21,castro,BR,70.93,clear sky,-24.79,-50.01,CHACARA BAILLY
25,erenhot,CN,77.32,clear sky,43.65,111.98,Erenhot Rurouni Youth Hostel
31,santa marta,CO,86.0,moderate rain,11.24,-74.2,Hotel La Ballena Azul
32,albany,US,86.0,broken clouds,42.6,-73.97,
33,gamba,GA,72.43,scattered clouds,-2.65,10.0,
34,ribeira grande,PT,73.4,broken clouds,38.52,-28.7,Quinta da Meia Eira
36,avallon,FR,77.0,scattered clouds,47.48,3.9,Hotel d'Avallon Vauban
37,westport,US,91.0,clear sky,41.14,-73.36,The Westport Inn
38,yellowknife,CA,68.0,light intensity shower rain,62.46,-114.35,The Explorer Hotel
40,nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
41,waingapu,ID,73.29,few clouds,-9.66,120.26,Pondok Wisata Elim
43,torbay,CA,79.0,scattered clouds,47.67,-52.73,Gallows Cove
46,khalkhal,IR,73.15,clear sky,37.62,48.53,Khalkhal Tourist Hotel
49,karak,JO,78.8,clear sky,31.17,35.75,Cairwan Hotel
50,san quintin,MX,72.55,clear sky,30.48,-115.95,Old Mill Hotel
51,manokwari,ID,79.95,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
54,karratha,AU,66.78,clear sky,-20.74,116.85,ibis Styles Karratha
55,los llanos de aridane,ES,75.2,few clouds,28.66,-17.92,Valle Aridane
57,victoria,HK,84.0,clear sky,22.29,114.16,Mini Hotel Central
58,fortuna,US,60.01,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
59,axim,GH,76.1,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
60,sola,VU,77.0,broken clouds,-13.88,167.55,Leumerus Bungalows
61,bambous virieux,MU,69.8,broken clouds,-20.34,57.76,Casa Tia Villa
63,bilokurakyne,UA,67.35,overcast clouds,49.53,38.73,ГОСТИНИЦА ЮБИЛЕЙНАЯ( ПАЛУБА)
65,komsomolskiy,UZ,77.0,clear sky,40.43,71.72,Ikathouse
66,ponta do sol,PT,72.0,clear sky,32.67,-17.1,Hotel do Campo
68,chapais,CA,66.2,scattered clouds,49.78,-74.85,Hôtel Opémiska
72,lagoa,PT,69.44,clear sky,39.05,-27.98,Casa Das Faias
73,turayf,SA,95.0,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
76,kodiak,US,68.0,clear sky,57.79,-152.41,Best Western Kodiak Inn and Convention Center
78,dingle,PH,76.01,overcast clouds,11.0,122.67,Camp Pasica
79,port-gentil,GA,78.8,few clouds,-0.72,8.78,Fengshui Residence
82,bathsheba,BB,89.6,scattered clouds,13.22,-59.52,Atlantis Hotel
84,chuy,UY,70.18,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
86,loubomo,CG,74.26,clear sky,-4.2,12.67,La Dolisienne
87,panino,RU,69.8,light intensity shower rain,51.65,40.13,
88,fallon,US,93.99,smoke,39.47,-118.78,Best Western Fallon Inn & Suites
89,birjand,IR,80.6,clear sky,32.87,59.22,Birjand Tourist Hotel
91,saint-philippe,RE,64.4,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
92,tual,ID,78.57,overcast clouds,-5.67,132.75,Grand Vilia Hotel
93,pacifica,US,69.01,broken clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
94,kochubey,RU,79.61,overcast clouds,44.39,46.58,Gostinitsa Karavan
95,maragogi,BR,77.13,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
99,bandrele,YT,75.2,clear sky,-12.91,45.19,Les Baobabs
101,altay,CN,61.97,overcast clouds,47.87,88.12,Jinqiao Hotel
103,bintulu,MY,78.8,thunderstorm with rain,3.17,113.03,900 Boutique INN
104,saint-georges,GD,87.8,scattered clouds,12.06,-61.75,Radisson Grenada Beach Resort
105,georgetown,MY,77.0,scattered clouds,5.41,100.34,Cititel Penang
106,caraquet,CA,79.0,clear sky,47.79,-64.94,Gite Le Poirier
107,atuona,PF,79.52,clear sky,-9.8,-139.03,Villa Enata
109,san patricio,MX,91.4,clear sky,19.22,-104.7,Hotel Cabo Blanco
111,butaritari,KI,80.06,overcast clouds,3.07,172.79,Isles Sunset Lodge
112,touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
113,washougal,US,77.0,clear sky,45.58,-122.35,Camas Hotel & Suites Portland - Vancouver
114,acarau,BR,83.68,overcast clouds,-2.89,-40.12,castelo pizzaria
115,east london,ZA,64.18,clear sky,-33.02,27.91,Tu Casa
116,koygorodok,RU,60.03,scattered clouds,60.45,51.0,
117,arraial do cabo,BR,84.2,clear sky,-22.97,-42.03,Pousada Porto Praia
118,thompson,CA,78.8,broken clouds,55.74,-97.86,Burntwood Hotel
119,half moon bay,US,72.0,broken clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
120,avera,US,93.2,clear sky,33.19,-82.53,
122,virginia beach,US,98.01,few clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
123,dongying,CN,74.82,overcast clouds,37.46,118.49,Wanda Realm
124,cidreira,BR,72.46,overcast clouds,-30.18,-50.21,Novomar Pousada e Turismo Ltda
125,mount isa,AU,60.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
127,luau,AO,64.67,clear sky,-10.71,22.22,Kimbo Hotel
129,palauig,PH,81.48,overcast clouds,15.44,119.9,Myhousebythesea
133,ponnani,IN,78.8,scattered clouds,10.77,75.93,Rouba Residency
134,bethel,US,88.0,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
135,yueyang,CN,78.57,scattered clouds,29.33,113.09,Delong Fortune Hotel
136,bastrop,US,89.6,scattered clouds,32.76,-91.87,Budget Inn
138,hambantota,LK,80.92,overcast clouds,6.12,81.12,Bungalow 63
140,baijiantan,CN,79.32,scattered clouds,45.63,85.18,
