City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,mayo,US,38.89,-76.51,95.0,52,1,8.05,clear sky,0.0,0
1,punta arenas,CL,-53.15,-70.92,30.2,92,10,6.93,clear sky,0.0,0
2,cap malheureux,MU,-19.98,57.61,66.99,68,76,3.0,light rain,0.13,0
3,geraldton,AU,-28.77,114.6,51.8,87,0,10.29,clear sky,0.0,0
4,puerto ayora,EC,-0.74,-90.35,77.0,65,75,6.93,broken clouds,0.0,0
5,rikitea,PF,-23.12,-134.97,66.27,60,98,16.78,overcast clouds,0.0,0
6,mumford,GH,5.26,-0.76,75.58,92,11,10.67,few clouds,0.0,0
7,iqaluit,CA,63.75,-68.51,50.0,81,90,5.82,moderate rain,0.0,0
8,veraval,IN,20.9,70.37,83.86,79,100,8.55,overcast clouds,0.0,0
9,znamenskoye,RU,57.13,73.83,56.93,77,0,4.07,clear sky,0.0,0
10,san juan,AR,-31.54,-68.54,56.64,46,30,9.82,scattered clouds,0.0,0
11,mosesgegh,AM,40.91,45.49,69.33,81,38,4.92,light rain,0.5,0
12,jamestown,US,42.1,-79.24,79.0,73,90,3.51,overcast clouds,0.0,0
13,port alfred,ZA,-33.59,26.89,66.24,40,0,10.09,clear sky,0.0,0
14,port elizabeth,ZA,-33.92,25.57,53.6,93,0,2.24,mist,0.0,0
15,hilo,US,19.73,-155.09,78.8,61,75,3.67,broken clouds,0.0,0
16,clyde river,CA,70.47,-68.59,44.6,93,75,4.7,broken clouds,0.0,0
17,ushuaia,AR,-54.8,-68.3,35.6,79,99,4.7,overcast clouds,0.0,0
18,hobart,AU,-42.88,147.33,46.0,65,100,2.24,overcast clouds,0.0,0
19,upernavik,GL,72.79,-56.15,49.64,59,100,1.43,overcast clouds,0.0,0
20,coquimbo,CL,-29.95,-71.34,60.8,67,40,12.75,scattered clouds,0.0,0
21,castro,BR,-24.79,-50.01,70.93,57,0,6.13,clear sky,0.0,0
22,pangnirtung,CA,66.15,-65.71,51.8,87,90,12.75,light rain,0.0,0
