City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Half Moon Bay,US,2020-07-21 18:12:15,37.46,-122.43,72.0,72,40,5.82
1,Ushuaia,AR,2020-07-21 18:07:20,-54.8,-68.3,35.6,93,60,2.24
2,Bredasdorp,ZA,2020-07-21 18:12:15,-34.53,20.04,59.0,87,0,9.17
3,Norman Wells,CA,2020-07-21 18:12:16,65.28,-126.83,51.8,93,90,12.75
4,Iqaluit,CA,2020-07-21 18:12:16,63.75,-68.51,50.0,81,90,8.05
5,Quatre Cocos,MU,2020-07-21 18:07:38,-20.21,57.76,69.8,52,75,8.05
6,Alfred,US,2020-07-21 18:12:16,42.25,-77.79,82.0,73,40,3.36
7,Castro,BR,2020-07-21 18:12:16,-24.79,-50.01,71.89,53,0,7.18
8,Nanortalik,GL,2020-07-21 18:12:16,60.14,-45.24,51.51,68,98,13.11
9,Albany,US,2020-07-21 18:12:16,42.6,-73.97,87.01,44,33,9.1
10,Bluff,NZ,2020-07-21 18:12:16,-46.6,168.33,39.0,83,100,3.0
11,Abu Kamal,SY,2020-07-21 18:12:17,34.45,40.92,96.85,12,0,13.13
12,Punta Arenas,CL,2020-07-21 18:10:24,-53.15,-70.92,30.2,92,0,5.82
13,Guerrero Negro,MX,2020-07-21 18:08:02,27.98,-114.06,75.76,58,2,12.73
14,Ponta Do Sol,PT,2020-07-21 18:12:17,32.67,-17.1,72.0,65,16,1.63
15,Kahului,US,2020-07-21 18:12:17,20.89,-156.47,80.6,65,40,9.17
16,Buala,SB,2020-07-21 18:07:58,-8.14,159.59,78.87,83,96,9.98
17,Vardo,NO,2020-07-21 18:12:17,70.37,31.11,53.6,93,60,2.24
18,Yellowknife,CA,2020-07-21 18:12:18,62.46,-114.35,66.2,82,75,10.29
19,Saskylakh,RU,2020-07-21 18:09:31,71.92,114.08,48.51,78,100,12.3
20,Atuona,PF,2020-07-21 18:12:18,-9.8,-139.03,79.34,75,26,17.27
21,Springdale,US,2020-07-21 18:12:18,36.19,-94.13,88.0,58,75,10.29
22,Canutama,BR,2020-07-21 18:12:18,-6.53,-64.38,96.82,26,0,3.36
23,Petropavlovsk-Kamchatskiy,RU,2020-07-21 18:12:18,53.05,158.65,48.2,100,84,2.24
24,Port Elizabeth,ZA,2020-07-21 18:12:18,-33.92,25.57,55.4,93,0,3.36
25,Kruisfontein,ZA,2020-07-21 18:12:19,-34.0,24.73,63.19,28,0,6.69
26,Rikitea,PF,2020-07-21 18:12:19,-23.12,-134.97,66.13,60,46,17.94
27,Pitea,SE,2020-07-21 18:10:06,65.32,21.48,64.4,88,85,1.12
28,Hilo,US,2020-07-21 18:12:19,19.73,-155.09,78.8,61,75,1.05
29,Ilulissat,GL,2020-07-21 18:12:19,69.22,-51.1,53.6,54,75,6.93
30,Asau,RO,2020-07-21 18:10:44,46.43,26.4,62.01,98,52,2.3
31,Lifford,IE,2020-07-21 18:12:19,54.83,-7.48,60.8,77,75,3.36
32,New Norfolk,AU,2020-07-21 18:12:19,-42.78,147.06,45.0,84,93,1.01
33,Hambantota,LK,2020-07-21 18:12:19,6.12,81.12,81.25,82,99,11.54
34,Cape Town,ZA,2020-07-21 18:12:19,-33.93,18.42,57.99,93,0,2.24
35,Narsaq,GL,2020-07-21 18:12:20,60.92,-46.05,68.0,40,40,6.93
36,Kambove,CD,2020-07-21 18:12:20,-10.88,26.6,59.86,50,2,1.99
37,Thompson,CA,2020-07-21 18:12:20,55.74,-97.86,78.8,36,40,10.29
38,Busselton,AU,2020-07-21 18:07:22,-33.65,115.33,57.0,74,15,10.27
39,Tuktoyaktuk,CA,2020-07-21 18:12:20,69.45,-133.04,41.0,80,90,6.93
40,Nome,US,2020-07-21 18:10:20,64.5,-165.41,48.99,87,90,10.29
41,Hermanus,ZA,2020-07-21 18:08:51,-34.42,19.23,54.0,92,0,4.45
42,Arraial Do Cabo,BR,2020-07-21 18:12:20,-22.97,-42.03,84.2,69,0,10.29
43,Torbay,CA,2020-07-21 18:12:21,47.67,-52.73,73.4,78,75,19.46
44,Mehamn,NO,2020-07-21 18:12:21,71.04,27.85,53.6,87,20,2.24
45,Mataura,NZ,2020-07-21 18:12:21,-46.19,168.86,39.0,83,99,3.0
46,Liverpool,GB,2020-07-21 18:09:14,53.41,-2.98,66.2,55,20,4.7
47,San Quintin,MX,2020-07-21 18:12:21,30.48,-115.95,71.62,69,62,13.87
48,Airai,TL,2020-07-21 18:12:21,-8.93,125.41,54.72,95,35,3.47
49,Karpathos,GR,2020-07-21 18:12:21,35.51,27.21,77.0,73,20,29.97
50,Progreso,MX,2020-07-21 18:12:22,21.28,-89.67,91.0,59,75,11.63
51,Port Alfred,ZA,2020-07-21 18:12:22,-33.59,26.89,64.96,50,0,10.76
